game_date_est,team_abbreviation_home,team_nickname_home,team_wins_losses_home,pts_home,team_abbreviation_away,team_nickname_away,team_wins_losses_away,pts_away
3/30/2023,MIL,Bucks,55-22,99,BOS,Celtics,53-24,140
3/31/2023,CHA,Hornets,26-52,91,CHI,Bulls,37-40,121
3/31/2023,IND,Pacers,34-44,121,OKC,Thunder,38-40,117
3/31/2023,PHI,76ers,51-26,117,TOR,Raptors,38-39,110
3/31/2023,WAS,Wizards,34-43,109,ORL,Magic,33-44,116
3/31/2023,BOS,Celtics,54-24,122,UTA,Jazz,36-41,114
3/31/2023,BKN,Nets,42-35,124,ATL,Hawks,38-39,107
3/31/2023,CLE,Cavaliers,48-30,116,NYK,Knicks,45-33,130
3/31/2023,HOU,Rockets,19-59,121,DET,Pistons,16-61,115
3/31/2023,MEM,Grizzlies,49-28,108,LAC,Clippers,41-37,94
3/31/2023,MIN,Timberwolves,39-39,111,LAL,Lakers,39-38,123
3/31/2023,GSW,Warriors,41-37,130,SAS,Spurs,19-58,115
3/31/2023,POR,Trail Blazers,32-45,114,SAC,Kings,47-30,138
3/31/2023,PHX,Suns,42-35,100,DEN,Nuggets,51-26,93
4/1/2023,MIA,Heat,41-37,129,DAL,Mavericks,37-41,122
4/1/2023,NOP,Pelicans,40-38,122,LAC,Clippers,41-38,114
4/2/2023,CHA,Hornets,26-53,108,TOR,Raptors,39-39,128
4/2/2023,BKN,Nets,43-35,111,UTA,Jazz,36-42,110
4/2/2023,CHI,Bulls,38-40,128,MEM,Grizzlies,49-29,107
4/2/2023,MIN,Timberwolves,39-40,105,POR,Trail Blazers,33-45,107
4/2/2023,ATL,Hawks,39-39,132,DAL,Mavericks,37-42,130
4/2/2023,NYK,Knicks,46-33,118,WAS,Wizards,34-44,109
4/2/2023,ORL,Magic,34-44,128,DET,Pistons,16-62,102
4/2/2023,SAC,Kings,47-31,134,SAS,Spurs,20-58,142
4/2/2023,HOU,Rockets,19-60,109,LAL,Lakers,40-38,134
4/2/2023,OKC,Thunder,38-41,118,PHX,Suns,43-35,128
4/2/2023,CLE,Cavaliers,49-30,115,IND,Pacers,34-45,105
4/2/2023,DEN,Nuggets,52-26,112,GSW,Warriors,41-38,110
4/2/2023,MIL,Bucks,56-22,117,PHI,76ers,51-27,104
4/4/2023,CHA,Hornets,26-54,100,TOR,Raptors,40-39,120
4/4/2023,DET,Pistons,16-63,105,MIA,Heat,42-37,118
4/4/2023,ORL,Magic,34-45,113,CLE,Cavaliers,50-30,117
4/4/2023,WAS,Wizards,34-45,128,MIL,Bucks,57-22,140
4/4/2023,BKN,Nets,43-36,102,MIN,Timberwolves,40-40,107
4/4/2023,CHI,Bulls,38-41,105,ATL,Hawks,40-39,123
4/4/2023,HOU,Rockets,20-60,124,DEN,Nuggets,52-27,103
4/4/2023,MEM,Grizzlies,50-29,119,POR,Trail Blazers,33-46,109
4/4/2023,NOP,Pelicans,40-39,103,SAC,Kings,48-31,121
4/4/2023,PHI,76ers,52-27,103,BOS,Celtics,54-25,101
4/4/2023,UTA,Jazz,36-43,133,LAL,Lakers,41-38,135
4/4/2023,GSW,Warriors,42-38,136,OKC,Thunder,38-42,125
4/4/2023,PHX,Suns,44-35,115,SAS,Spurs,20-59,94
4/5/2023,DET,Pistons,16-64,108,BKN,Nets,44-36,123
4/5/2023,IND,Pacers,34-46,129,NYK,Knicks,47-33,138
4/5/2023,ATL,Hawks,41-39,134,WAS,Wizards,34-46,116
4/5/2023,BOS,Celtics,55-25,97,TOR,Raptors,40-40,93
4/5/2023,NOP,Pelicans,41-39,138,MEM,Grizzlies,50-30,131
4/5/2023,DAL,Mavericks,38-42,123,SAC,Kings,48-32,119
4/5/2023,LAC,Clippers,42-38,125,LAL,Lakers,41-39,118
4/5/2023,MIL,Bucks,58-22,105,CHI,Bulls,38-42,92
4/6/2023,ORL,Magic,34-46,94,CLE,Cavaliers,51-30,118
4/6/2023,PHI,76ers,52-28,101,MIA,Heat,43-37,129
4/6/2023,SAS,Spurs,21-59,129,POR,Trail Blazers,33-47,127
4/6/2023,UTA,Jazz,36-44,98,OKC,Thunder,39-42,114
4/6/2023,PHX,Suns,45-35,119,DEN,Nuggets,52-28,115
4/7/2023,CHA,Hornets,26-55,109,HOU,Rockets,21-60,112
4/7/2023,IND,Pacers,34-47,115,DET,Pistons,17-64,122
4/7/2023,WAS,Wizards,35-46,114,MIA,Heat,43-38,108
4/7/2023,ATL,Hawks,41-40,131,PHI,76ers,53-28,136
4/7/2023,BOS,Celtics,56-25,121,TOR,Raptors,40-41,102
4/7/2023,BKN,Nets,45-36,101,ORL,Magic,34-47,84
4/7/2023,NOP,Pelicans,42-39,113,NYK,Knicks,47-34,105
4/7/2023,DAL,Mavericks,38-43,112,CHI,Bulls,39-42,115
4/7/2023,SAC,Kings,48-33,97,GSW,Warriors,43-38,119
4/7/2023,LAL,Lakers,42-39,121,PHX,Suns,45-36,107
4/7/2023,MIL,Bucks,58-23,114,MEM,Grizzlies,51-30,137
4/8/2023,UTA,Jazz,37-44,118,DEN,Nuggets,52-29,114
4/8/2023,LAC,Clippers,43-38,136,POR,Trail Blazers,33-48,125
4/8/2023,SAS,Spurs,21-60,131,MIN,Timberwolves,41-40,151
4/9/2023,BOS,Celtics,57-25,120,ATL,Hawks,41-41,114
4/9/2023,BKN,Nets,45-37,105,PHI,76ers,54-28,134
4/9/2023,CHI,Bulls,40-42,103,DET,Pistons,17-65,81
4/9/2023,CLE,Cavaliers,51-31,95,CHA,Hornets,27-55,106
4/9/2023,MIA,Heat,44-38,123,ORL,Magic,34-48,110
4/9/2023,NYK,Knicks,47-35,136,IND,Pacers,35-47,141
4/9/2023,TOR,Raptors,41-41,121,MIL,Bucks,58-24,105
4/9/2023,WAS,Wizards,35-47,109,HOU,Rockets,22-60,114
4/9/2023,DAL,Mavericks,38-44,117,SAS,Spurs,22-60,138
4/9/2023,DEN,Nuggets,53-29,109,SAC,Kings,48-34,95
4/9/2023,LAL,Lakers,43-39,128,UTA,Jazz,37-45,117
4/9/2023,MIN,Timberwolves,42-40,113,NOP,Pelicans,42-40,108
4/9/2023,OKC,Thunder,40-42,115,MEM,Grizzlies,51-31,100
4/9/2023,PHX,Suns,45-37,114,LAC,Clippers,44-38,119
4/9/2023,POR,Trail Blazers,33-49,101,GSW,Warriors,44-38,157
