game_date_est,Start (ET),team_abbreviation_away,away_full_name (depr),away_full_name,away_city,team_nickname_away,team_wins_losses_away,pts_away,team_abbreviation_home,home_full_name (depr),home_full_name,home_city,team_nickname_home,team_wins_losses_home,pts_home,,,Attend.,Arena,Notes
2023-03-26,8:30p,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,38-37,99,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,39-37,96,Box Score,,18064,Chase Center,
2023-03-27,7:00p,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,54-21,126,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,16-59,117,Box Score,,21090,Little Caesars Arena,
2023-03-27,7:00p,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,37-39,127,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,33-43,104,Box Score,,17022,Gainbridge Fieldhouse,
2023-03-27,7:30p,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,18-58,115,NYK,NewYork Knicks,New York Knicks,New York,Knicks,43-33,137,Box Score,,19812,Madison Square Garden (IV),
2023-03-27,9:00p,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,40-35,117,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,35-40,103,Box Score,,18206,Vivint Arena,
2023-03-27,9:30p,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,49-26,111,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,51-24,116,Box Score,,19781,Ball Arena,
2023-03-27,10:00p,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,38-37,124,POR,PortlandTrail Blazers,Portland Trail Blazers,Portland Trail,Blazers,32-43,90,Box Score,,17943,Moda Center,
2023-03-27,10:00p,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,39-37,119,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,45-30,115,Box Score,,18151,Golden 1 Center,
2023-03-27,10:30p,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,36-39,112,LAC,LosAngeles Clippers,Los Angeles Clippers,Los Angeles,Clippers,40-36,124,Box Score,,19068,Crypto.com Arena,
2023-03-28,7:00p,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,52-24,111,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,34-42,130,Box Score,,20476,Capital One Arena,
2023-03-28,7:30p,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland,Cavaliers,48-29,118,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,38-38,120,Box Score,,17748,State Farm Arena,
2023-03-28,7:30p,MIA,Miami Heat,Miami Heat,Miami,Heat,40-36,92,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,38-38,106,Box Score,,19800,Scotiabank Arena,
2023-03-28,8:00p,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,32-44,108,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,48-27,113,Box Score,,16507,FedEx Forum,
2023-03-28,8:00p,CHA,Charlotte Hornets,Charlotte Hornets,Charlotte,Hornets,26-51,137,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,37-39,134,Box Score,,15428,Paycom Center,
2023-03-28,10:00p,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,38-38,109,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,40-37,120,Box Score,,18064,Chase Center,
2023-03-29,7:00p,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,55-21,149,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,33-44,136,Box Score,,16524,Gainbridge Fieldhouse,
2023-03-29,7:30p,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,18-59,114,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,41-35,123,Box Score,,17074,Barclays Center,
2023-03-29,7:30p,MIA,Miami Heat,Miami Heat,Miami,Heat,40-37,92,NYK,NewYork Knicks,New York Knicks,New York,Knicks,44-33,101,Box Score,,19812,Madison Square Garden (IV),
2023-03-29,7:30p,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,37-40,108,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,50-26,116,Box Score,,20583,Wells Fargo Center,
2023-03-29,8:00p,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,38-38,121,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,36-40,110,Box Score,,21739,United Center,
2023-03-29,8:00p,LAC,LosAngeles Clippers,Los Angeles Clippers,Los Angeles,Clippers,41-36,141,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,48-28,132,Box Score,,16775,FedEx Forum,
